year,month,day,hour,week_day,year_day,temperature,precipitation,consumption
2018,5,28,1,0,148,18.34,97,5041
2018,5,28,2,0,148,17.88,100,4914
2018,5,28,3,0,148,17.86,98,4869
2018,5,28,4,0,148,17.81,97,4833
2018,5,28,5,0,148,17.71,97,4760
2018,5,28,6,0,148,17.65,97,4907
2018,5,28,7,0,148,18.47,96,5277
2018,5,28,8,0,148,19.58,94,5636
2018,5,28,9,0,148,20.53,92,5858
2018,5,28,10,0,148,21.64,89,5921
2018,5,28,11,0,148,22.73,84,5908
2018,5,28,12,0,148,23.7,80,5911
2018,5,28,13,0,148,23.52,76,5914
2018,5,28,14,0,148,23.96,73,5831
2018,5,28,15,0,148,25.13,70,5834
2018,5,28,16,0,148,25.17,68,5851
2018,5,28,17,0,148,25.24,68,5861
2018,5,28,18,0,148,24.97,70,5939
2018,5,28,19,0,148,24.39,71,6023
2018,5,28,20,0,148,23.54,75,6198
2018,5,28,21,0,148,22.13,80,6579
2018,5,28,22,0,148,21.23,85,6343
2018,5,28,23,0,148,20.45,90,5756
2018,5,29,0,1,149,19.9,94,5401
2018,5,29,1,1,149,19.47,96,5159
2018,5,29,2,1,149,19.12,99,5068
2018,5,29,3,1,149,19.21,96,5023
2018,5,29,4,1,149,19.26,96,5095
2018,5,29,5,1,149,19.14,97,5174
2018,5,29,6,1,149,19.14,97,5617
2018,5,29,7,1,149,19.75,96,6430
2018,5,29,8,1,149,20.59,92,6955
2018,5,29,9,1,149,22.51,85,7140
2018,5,29,10,1,149,24.11,79,7228
2018,5,29,11,1,149,24.95,75,7141
2018,5,29,12,1,149,25.42,69,7113
2018,5,29,13,1,149,25.4,66,7198
2018,5,29,14,1,149,25.58,64,7162
2018,5,29,15,1,149,25.62,64,7066
2018,5,29,16,1,149,25.61,65,7042
2018,5,29,17,1,149,25.79,65,7040
2018,5,29,18,1,149,25.67,65,6971
2018,5,29,19,1,149,24.98,68,7025
2018,5,29,20,1,149,23.68,75,7064
2018,5,29,21,1,149,22.28,79,7356
2018,5,29,22,1,149,21.56,84,7014
2018,5,29,23,1,149,21.13,88,6326
2018,5,30,0,2,150,20.73,91,5868
2018,5,30,1,2,150,20.43,92,5583
2018,5,30,2,2,150,20.25,92,5427
2018,5,30,3,2,150,20.02,92,5389
2018,5,30,4,2,150,19.85,93,5414
2018,5,30,5,2,150,19.7,94,5462
2018,5,30,6,2,150,19.79,94,5777
2018,5,30,7,2,150,20.57,91,6489
2018,5,30,8,2,150,19.9,96,6962
2018,5,30,9,2,150,20.54,93,7122
2018,5,30,10,2,150,20.75,93,7114
2018,5,30,11,2,150,21.24,92,7133
2018,5,30,12,2,150,21.5,89,7137
2018,5,30,13,2,150,22.0,85,7282
2018,5,30,14,2,150,22.68,83,7156
2018,5,30,15,2,150,22.4,83,7074
2018,5,30,16,2,150,22.14,84,7083
2018,5,30,17,2,150,21.94,84,7052
2018,5,30,18,2,150,22.2,84,6940
2018,5,30,19,2,150,22.31,84,6966
2018,5,30,20,2,150,21.64,87,7000
2018,5,30,21,2,150,20.69,90,7343
2018,5,30,22,2,150,20.05,94,7032
2018,5,30,23,2,150,19.67,96,6334
2018,5,31,0,3,151,19.66,96,5846
2018,5,31,1,3,151,19.69,96,5601
2018,5,31,2,3,151,19.65,96,5481
2018,5,31,3,3,151,19.58,97,5415
2018,5,31,4,3,151,19.56,97,5406
2018,5,31,5,3,151,19.57,97,5416
2018,5,31,6,3,151,19.57,97,5802
2018,5,31,7,3,151,20.1,95,6479
2018,5,31,8,3,151,20.39,95,6878
2018,5,31,9,3,151,20.83,94,7131
2018,5,31,10,3,151,21.27,93,7184
2018,5,31,11,3,151,21.62,92,7200
2018,5,31,12,3,151,21.92,90,7257
2018,5,31,13,3,151,22.18,88,7374
2018,5,31,14,3,151,22.33,88,7281
2018,5,31,15,3,151,22.2,88,7176
2018,5,31,16,3,151,22.14,87,7173
2018,5,31,17,3,151,22.13,87,7162
2018,5,31,18,3,151,22.09,86,7081
2018,5,31,19,3,151,22.19,84,7049
2018,5,31,20,3,151,21.74,84,7104
2018,5,31,21,3,151,21.22,80,7362
2018,5,31,22,3,151,20.26,84,7064
2018,5,31,23,3,151,19.67,84,6427
2018,6,1,0,4,152,19.4,83,5981
2018,6,1,1,4,152,19.4,83,5687
2018,6,1,2,4,152,19.35,87,5527
2018,6,1,3,4,152,19.27,89,5439
2018,6,1,4,4,152,19.36,91,5488
2018,6,1,5,4,152,19.02,91,5385
2018,6,1,6,4,152,18.92,91,5424
2018,6,1,7,4,152,19.61,95,5798
2018,6,1,8,4,152,20.41,95,6212
2018,6,1,9,4,152,20.77,94,6529
2018,6,1,10,4,152,20.92,94,6669
2018,6,1,11,4,152,20.81,93,6717
2018,6,1,12,4,152,21.28,90,6691
2018,6,1,13,4,152,21.68,88,6762
2018,6,1,14,4,152,22.25,86,6689
2018,6,1,15,4,152,22.04,86,6605
2018,6,1,16,4,152,22.3,84,6613
2018,6,1,17,4,152,21.75,87,6637
2018,6,1,18,4,152,21.96,87,6542
2018,6,1,19,4,152,21.37,89,6547
2018,6,1,20,4,152,20.92,90,6608
2018,6,1,21,4,152,20.32,90,6911
2018,6,1,22,4,152,19.9,93,6734
2018,6,1,23,4,152,19.66,95,6119
2018,6,2,0,5,153,19.5,97,5741
2018,6,2,1,5,153,19.5,97,5453
2018,6,2,2,5,153,19.45,97,5300
2018,6,2,3,5,153,19.37,97,5279
2018,6,2,4,5,153,19.27,97,5275
2018,6,2,5,5,153,19.16,97,5201
2018,6,2,6,5,153,18.99,97,5285
2018,6,2,7,5,153,19.01,97,5615
2018,6,2,8,5,153,19.54,97,6023
2018,6,2,9,5,153,19.54,96,6245
2018,6,2,10,5,153,19.62,95,6388
2018,6,2,11,5,153,20.24,93,6455
2018,6,2,12,5,153,20.44,92,6490
2018,6,2,13,5,153,20.65,91,6429
2018,6,2,14,5,153,20.8,89,6326
2018,6,2,15,5,153,20.94,88,6310
2018,6,2,16,5,153,20.97,87,6343
2018,6,2,17,5,153,20.96,87,6377
2018,6,2,18,5,153,20.84,88,6375
2018,6,2,19,5,153,20.79,88,6378
2018,6,2,20,5,153,20.69,89,6433
2018,6,2,21,5,153,20.43,88,6746
2018,6,2,22,5,153,20.16,89,6558
2018,6,2,23,5,153,19.8,89,6003
2018,6,3,0,6,154,19.39,91,5637
2018,6,3,1,6,154,18.97,93,5362
2018,6,3,2,6,154,18.6,94,5230
2018,6,3,3,6,154,18.3,95,5176
2018,6,3,4,6,154,18.09,95,5150
2018,6,3,5,6,154,17.89,95,5054
2018,6,3,6,6,154,17.64,96,5005
2018,6,3,7,6,154,17.74,96,5189
2018,6,3,8,6,154,17.58,94,5454
2018,6,3,9,6,154,18.19,94,5673
2018,6,3,10,6,154,18.56,94,5764
2018,6,3,11,6,154,19.01,95,5854
2018,6,3,12,6,154,19.3,94,5890
2018,6,3,13,6,154,19.69,94,5880
2018,6,3,14,6,154,19.53,94,5820
2018,6,3,15,6,154,19.2,94,5808
2018,6,3,16,6,154,19.24,94,5842
2018,6,3,17,6,154,19.27,92,5901
2018,6,3,18,6,154,19.3,91,5957
2018,6,3,19,6,154,19.11,90,6053
2018,6,3,20,6,154,18.68,90,6201
2018,6,3,21,6,154,17.93,93,6492
2018,6,3,22,6,154,17.61,94,6244
2018,6,3,23,6,154,17.05,97,5755
2018,6,4,0,0,155,16.8,97,5394
2018,6,4,1,0,155,16.64,96,5185
2018,6,4,2,0,155,16.53,95,5110
2018,6,4,3,0,155,16.33,91,5110
2018,6,4,4,0,155,15.4,81,5128
2018,6,4,5,0,155,14.82,79,5203
2018,6,4,6,0,155,14.35,84,5661
2018,6,4,7,0,155,14.86,90,6471
2018,6,4,8,0,155,16.28,90,6957
2018,6,4,9,0,155,16.72,81,7216
2018,6,4,10,0,155,18.13,74,7280
2018,6,4,11,0,155,17.88,68,7291
2018,6,4,12,0,155,18.03,66,7299
2018,6,4,13,0,155,18.18,64,7313
2018,6,4,14,0,155,18.39,61,7271
2018,6,4,15,0,155,18.34,63,7167
2018,6,4,16,0,155,17.91,67,7129
2018,6,4,17,0,155,17.64,68,7063
2018,6,4,18,0,155,17.38,69,6959
2018,6,4,19,0,155,16.8,68,6950
2018,6,4,20,0,155,15.74,71,7020
2018,6,4,21,0,155,13.67,75,7332
2018,6,4,22,0,155,13.16,74,6972
2018,6,4,23,0,155,12.84,74,6362
2018,6,5,0,1,156,12.19,77,5932
2018,6,5,1,1,156,11.39,82,5709
2018,6,5,2,1,156,10.6,85,5582
2018,6,5,3,1,156,9.92,87,5513
2018,6,5,4,1,156,9.41,89,5566
2018,6,5,5,1,156,9.0,90,5601
2018,6,5,6,1,156,8.73,91,5918
2018,6,5,7,1,156,10.38,90,6575
2018,6,5,8,1,156,14.35,81,7064
2018,6,5,9,1,156,17.31,65,7283
2018,6,5,10,1,156,19.11,59,7297
2018,6,5,11,1,156,18.92,59,7322
2018,6,5,12,1,156,16.9,69,7326
2018,6,5,13,1,156,19.2,65,7464
2018,6,5,14,1,156,18.9,67,7467
2018,6,5,15,1,156,16.42,84,7351
2018,6,5,16,1,156,16.28,89,7229
2018,6,5,17,1,156,16.3,87,7108
2018,6,5,18,1,156,16.41,86,7043
2018,6,5,19,1,156,16.45,87,7080
2018,6,5,20,1,156,16.18,87,7173
2018,6,5,21,1,156,15.55,86,7490
2018,6,5,22,1,156,14.45,85,7187
2018,6,5,23,1,156,13.3,85,6450
2018,6,6,0,2,157,12.42,85,5977
2018,6,6,1,2,157,11.92,84,5712
2018,6,6,2,2,157,11.03,85,5621
2018,6,6,3,2,157,9.76,92,5504
2018,6,6,4,2,157,8.56,100,5575
2018,6,6,5,2,157,8.43,97,5518
2018,6,6,6,2,157,8.07,97,5888
2018,6,6,7,2,157,8.09,96,6614
2018,6,6,8,2,157,10.55,77,7109
2018,6,6,9,2,157,11.61,72,7252
2018,6,6,10,2,157,12.83,69,7341
2018,6,6,11,2,157,13.42,66,7399
2018,6,6,12,2,157,14.03,64,7490
2018,6,6,13,2,157,14.79,62,7585
2018,6,6,14,2,157,15.2,62,7546
2018,6,6,15,2,157,15.4,62,7425
2018,6,6,16,2,157,15.23,64,7357
2018,6,6,17,2,157,15.34,65,7257
2018,6,6,18,2,157,15.21,66,7146
2018,6,6,19,2,157,14.88,67,7163
2018,6,6,20,2,157,14.43,69,7190
2018,6,6,21,2,157,13.95,68,7432
2018,6,6,22,2,157,13.88,68,7060
2018,6,6,23,2,157,13.5,70,6409
2018,6,7,0,3,158,12.85,72,5919
2018,6,7,1,3,158,12.35,76,5723
2018,6,7,2,3,158,11.04,82,5553
2018,6,7,3,3,158,10.07,88,5540
2018,6,7,4,3,158,9.38,93,5628
2018,6,7,5,3,158,8.94,96,5663
2018,6,7,6,3,158,8.4,100,5946
2018,6,7,7,3,158,10.44,91,6669
2018,6,7,8,3,158,11.41,85,7121
2018,6,7,9,3,158,14.99,74,7230
2018,6,7,10,3,158,17.2,67,7310
2018,6,7,11,3,158,18.86,60,7261
2018,6,7,12,3,158,20.12,56,7345
2018,6,7,13,3,158,21.27,52,7464
2018,6,7,14,3,158,22.13,52,7400
2018,6,7,15,3,158,22.86,49,7359
2018,6,7,16,3,158,23.21,49,7295
2018,6,7,17,3,158,23.31,50,7263
2018,6,7,18,3,158,23.07,49,7168
2018,6,7,19,3,158,22.31,55,7199
2018,6,7,20,3,158,21.57,58,7263
2018,6,7,21,3,158,19.25,66,7535
2018,6,7,22,3,158,17.85,72,7144
2018,6,7,23,3,158,16.68,77,6491
2018,6,8,0,4,159,15.86,80,6038
2018,6,8,1,4,159,15.29,82,5761
2018,6,8,2,4,159,15.01,82,5705
2018,6,8,3,4,159,14.53,84,5642
2018,6,8,4,4,159,14.21,85,5639
2018,6,8,5,4,159,13.93,85,5646
2018,6,8,6,4,159,13.64,86,6020
2018,6,8,7,4,159,15.15,84,6711
2018,6,8,8,4,159,19.84,72,7127
2018,6,8,9,4,159,22.1,64,7322
2018,6,8,10,4,159,22.32,60,7342
2018,6,8,11,4,159,22.7,60,7342
2018,6,8,12,4,159,23.08,60,7480
2018,6,8,13,4,159,23.37,60,7608
2018,6,8,14,4,159,23.67,60,7493
2018,6,8,15,4,159,23.51,62,7437
2018,6,8,16,4,159,24.07,59,7341
2018,6,8,17,4,159,24.14,59,7334
2018,6,8,18,4,159,24.01,60,7262
2018,6,8,19,4,159,23.5,64,7265
2018,6,8,20,4,159,22.67,70,7245
2018,6,8,21,4,159,21.9,70,7485
2018,6,8,22,4,159,21.16,72,7181
2018,6,8,23,4,159,20.51,75,6608
2018,6,9,0,5,160,19.91,77,6140
2018,6,9,1,5,160,19.36,80,5845
2018,6,9,2,5,160,19.0,82,5754
2018,6,9,3,5,160,18.75,84,5708
2018,6,9,4,5,160,18.54,85,5677
2018,6,9,5,5,160,18.33,86,5552
2018,6,9,6,5,160,18.12,88,5633
2018,6,9,7,5,160,19.62,88,6044
2018,6,9,8,5,160,19.1,93,6498
2018,6,9,9,5,160,19.57,92,6707
2018,6,9,10,5,160,21.21,88,6907
2018,6,9,11,5,160,20.87,86,6951
2018,6,9,12,5,160,20.93,84,6992
2018,6,9,13,5,160,21.07,82,6922
